,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
104284,104313,02/04/91,PEGASUS PLUMBING LTD.,L0H,T850211002,BUILDING RENOVATOR,L0H,43.495282,-79.698289,1991,L0H
104285,104314,02/04/91,ROOF TILE MANAGEMENT INC.,L4T,T850211007,BUILDING RENOVATOR,L4T,43.628726,-79.664034,1991,L4T
104286,104315,02/04/91,BLU STONE RENOVATIONS LTD,L3Y,T850211010,BUILDING RENOVATOR,L3Y,44.085347,-79.430762,1991,L3Y
104287,104316,03/04/91,SHAWN'S ROOFING,L5G,T850211035,BUILDING RENOVATOR,L5G,43.570082,-79.580719,1991,L5G
104288,104317,03/04/91,IBD CONTRACTING,L6H,T850211040,BUILDING RENOVATOR,L6H,43.471933,-79.681705,1991,L6H
104289,104318,03/04/91,HALLS RENOVATIONS & INSTALLATIONS,L3Y,T850211041,BUILDING RENOVATOR,L3Y,44.085347,-79.430762,1991,L3Y
104290,104319,03/04/91,,L1J,T850211044,BUILDING RENOVATOR,L1J,43.896081,-78.872717,1991,L1J
104291,104320,26/04/91,CANNAD CONSTRUCTION INC.,M2H,T850211527,BUILDING RENOVATOR,M2H,43.801874,-79.344606,1991,M2H
104292,104321,03/05/91,PRECISION BUILDING PRODUCTS,M2R,T850211669,BUILDING RENOVATOR,M2R,43.783661,-79.444992,1991,M2R
104293,104322,07/05/91,,M1M,T850211729,BUILDING RENOVATOR,M1M,43.724026,-79.241241,1991,M1M
104294,104323,07/05/91,ALBERT AND SON HOME IMPROVEMENTS,M8Z,T850211731,BUILDING RENOVATOR,M8Z,43.637002,-79.520842,1991,M8Z
104295,104324,22/05/91,SOLNESS INC.,L5T,T850211981,BUILDING RENOVATOR,L5T,43.65271,-79.69113,1991,L5T
104296,104325,23/05/91,RAFAT GENERAL CONTRACTOR,L4L,T850212001,BUILDING RENOVATOR,L4L,43.792539,-79.551279,1991,L4L
104297,104326,27/05/91,REGAL ALUMINUM (1993) INC,L4K,T850212041,BUILDING RENOVATOR,L4K,43.811608,-79.552851,1991,L4K
104298,104327,30/05/91,G.A.ALUMINUM AND GENERAL REPAIRS,M1E,T850212134,BUILDING RENOVATOR,M1E,43.763367,-79.161438,1991,M1E
104299,104328,31/05/91,HYGRADE CHIMNEY SERVICE LTD,M1C,T850212152,BUILDING RENOVATOR,M1C,43.789091,-79.160265,1991,M1C
104300,104329,03/06/91,SANDS RESTORATION SERVICES LTD.,L3R,T850212180,BUILDING RENOVATOR,L3R,43.841094,-79.325796,1991,L3R
104301,104330,03/06/91,,M9P,T850212187,BUILDING RENOVATOR,M9P,43.678001,-79.524372,1991,M9P
104302,104331,03/06/91,MARKVILLE ALUMINUM PRODUCTS & GENERAL RENOVATION,L1X,T850212188,BUILDING RENOVATOR,L1X,43.834199,-79.135059,1991,L1X
104303,104332,03/06/91,CANADIAN TECHNICAL RESTORATION (ONTARIO) INC.,L6X,T850212195,BUILDING RENOVATOR,L6X,43.643111,-79.820671,1991,L6X
104304,104333,04/06/91,KAINTH ENTERPRISES,L3S,T850212214,BUILDING RENOVATOR,L3S,43.822307,-79.301551,1991,L3S
104305,104334,06/06/91,,M1N,T850212270,BUILDING RENOVATOR,M1N,43.680889,-79.278736,1991,M1N
104306,104335,02/07/91,ANDERSONS CARPENTRY AND RENOVATIONS,M6H,T850212861,BUILDING RENOVATOR,M6H,43.659753,-79.428556,1991,M6H
104307,104336,05/07/91,,M9A,T850212963,BUILDING RENOVATOR,M9A,43.64425,-79.529982,1991,M9A
104308,104337,15/07/91,SKYRAN CONSTRUCTION LTD.,M3H,T850213119,BUILDING RENOVATOR,M3H,43.797038,-79.423404,1991,M3H
104309,104338,15/07/91,,M4J,T850213123,BUILDING RENOVATOR,M4J,43.721377,-79.257537,1991,M4J
